date,consump,sent,pers_inc,unemp
1/1/2000,31111,112,7999.7,4
2/1/2000,31208,111.3,8077.7,4.1
3/1/2000,31260,107.1,8124,4
4/1/2000,31364,109.2,8111.6,3.8
5/1/2000,31455,110.7,8148.8,4
6/1/2000,31499,106.4,8166,4
7/1/2000,31637,108.3,8173.7,4
8/1/2000,31777,107.3,8215.4,4.1
9/1/2000,31749,106.8,8280.1,3.9
10/1/2000,31772,105.8,8277.4,3.9
11/1/2000,31724,107.6,8283.8,3.9
12/1/2000,31737,98.4,8327,3.9
1/1/2001,31888,94.7,8323.6,4.2
2/1/2001,31930,90.6,8332,4.2
3/1/2001,32006,91.5,8321.3,4.3
4/1/2001,31909,88.4,8325.5,4.4
5/1/2001,31816,92,8359.9,4.3
6/1/2001,31792,92.6,8359.5,4.5
7/1/2001,32240,92.4,8374.4,4.6
8/1/2001,32773,91.5,8420,4.9
9/1/2001,32504,81.8,8334.6,5
10/1/2001,31969,82.7,8533.1,5.3
11/1/2001,32020,83.9,8490,5.5
12/1/2001,32075,88.8,8476.3,5.7
1/1/2002,32734,93,8505.4,5.7
2/1/2002,32745,90.7,8538.9,5.7
3/1/2002,32708,95.7,8536.7,5.7
4/1/2002,32776,93,8579.6,5.9
5/1/2002,32822,96.9,8546.9,5.8
6/1/2002,32866,92.4,8590.2,5.8
7/1/2002,32736,88.1,8640.1,5.8
8/1/2002,32681,87.6,8650.8,5.7
9/1/2002,32670,86.1,8608.2,5.7
10/1/2002,32716,80.6,8634.2,5.7
11/1/2002,32766,84.2,8658.1,5.9
12/1/2002,32838,86.7,8715.2,6
1/1/2003,32829,82.4,8727.8,5.8
2/1/2003,32739,79.9,8683.9,5.9
3/1/2003,32832,77.6,8724.9,5.9
4/1/2003,33018,86,8780.4,6
5/1/2003,33249,92.1,8798.5,6.1
6/1/2003,33334,89.7,8851.2,6.3
7/1/2003,33681,90.9,8895,6.2
8/1/2003,33861,89.3,8975.4,6.1
9/1/2003,33441,87.7,8944.1,6.1
10/1/2003,33557,89.6,8963.2,6
11/1/2003,33778,93.7,9021.1,5.8
12/1/2003,33814,92.6,9028.6,5.7
1/1/2004,33830,103.8,9072.3,5.7
2/1/2004,33880,94.4,9088.6,5.6
3/1/2004,33979,95.8,9128.1,5.8
4/1/2004,34065,94.2,9131.3,5.6
5/1/2004,34214,90.2,9181.8,5.6
6/1/2004,34188,95.6,9144.1,5.6
7/1/2004,34213,96.7,9204.5,5.5
8/1/2004,34284,95.9,9222.2,5.4
9/1/2004,34254,94.2,9291.2,5.4
10/1/2004,34256,91.7,9306.5,5.5
11/1/2004,34149,92.8,9319.3,5.4
12/1/2004,35369,97.1,9377.9,5.4
1/1/2005,34163,95.5,9380.6,5.3
2/1/2005,34156,94.1,9412.4,5.4
3/1/2005,34240,92.6,9435.6,5.2
4/1/2005,34282,87.7,9508.4,5.2
5/1/2005,34399,86.9,9459.1,5.1
6/1/2005,34470,96,9556,5
7/1/2005,34527,96.5,9615.4,5
8/1/2005,34549,89.1,9579.8,4.9
9/1/2005,34341,76.9,9541.6,5
10/1/2005,34477,74.2,9566.7,5
11/1/2005,34686,81.6,9618.5,5
12/1/2005,34844,91.5,9659.4,4.9
1/1/2006,35286,91.2,9696,4.7
2/1/2006,35412,86.7,9726.3,4.8
3/1/2006,35451,88.9,9745.8,4.7
4/1/2006,35380,87.4,9764.2,4.7
5/1/2006,35321,79.1,9774.8,4.6
6/1/2006,35370,84.9,9783.7,4.6
7/1/2006,35331,84.7,9832,4.7
8/1/2006,35293,82,9809.4,4.7
9/1/2006,35477,85.4,9858.8,4.5
10/1/2006,35650,93.6,9902.6,4.4
11/1/2006,35747,92.1,9917.8,4.5
12/1/2006,35814,91.7,9967.2,4.4
1/1/2007,35819,96.9,9980.3,4.6
2/1/2007,35887,91.3,9986.8,4.5
3/1/2007,35970,88.4,9994.3,4.4
4/1/2007,35936,87.1,10013.1,4.5
5/1/2007,35891,88.3,10026.1,4.4
6/1/2007,35821,85.3,10022,4.6
7/1/2007,35871,90.4,10038.6,4.7
8/1/2007,35859,83.4,10071.5,4.6
9/1/2007,35919,83.4,10070.2,4.7
10/1/2007,35824,80.9,10059.8,4.7
11/1/2007,35760,76.1,10085.1,4.7
12/1/2007,35885,75.5,10078.6,5
1/1/2008,35975,78.4,10068.1,5
2/1/2008,35995,70.8,10037.3,4.9
3/1/2008,36040,69.5,10056.7,5.1
4/1/2008,35882,62.6,10073.5,5
5/1/2008,37584,59.8,10078.8,5.4
6/1/2008,36566,56.4,10066.7,5.6
7/1/2008,35962,61.2,10018.5,5.8
8/1/2008,35645,63,10014.3,6.1
9/1/2008,35655,70.3,9948.4,6.1
10/1/2008,35801,57.6,9907,6.5
11/1/2008,36020,55.3,9887.2,6.8
12/1/2008,35862,60.1,9834.3,7.3
1/1/2009,35952,61.2,9877.1,7.8
2/1/2009,35585,56.3,9838.9,8.3
3/1/2009,35560,57.3,9814.9,8.7
4/1/2009,35744,65.1,9798.7,9
5/1/2009,36286,68.7,9807.1,9.4
6/1/2009,35653,70.8,9798.8,9.5
7/1/2009,35509,66,9831.1,9.5
8/1/2009,35402,65.7,9930.7,9.6
9/1/2009,35434,73.5,9826.2,9.8
10/1/2009,35276,70.6,9847.9,10
11/1/2009,35344,67.4,9847,9.9
12/1/2009,35449,72.5,9896.8,9.9
1/1/2010,35356,74.4,9881.2,9.7
2/1/2010,35267,73.6,9908.4,9.8
3/1/2010,35326,73.6,9956.8,9.9
4/1/2010,35572,72.2,9970.1,9.9
5/1/2010,35791,73.6,9997.3,9.6
6/1/2010,35782,76,10018.5,9.4
7/1/2010,35783,67.8,10027.9,9.5
8/1/2010,35865,68.9,10075.7,9.5
9/1/2010,35792,68.2,10087.6,9.5
10/1/2010,35851,67.7,10139.7,9.5
11/1/2010,35928,71.6,10179.3,9.8
12/1/2010,36151,74.5,10188,9.4
1/1/2011,36340,74.2,10197.8,9.1
2/1/2011,36416,77.5,10215.1,9
3/1/2011,36329,67.5,10251,9
4/1/2011,36259,69.8,10255,9.1
5/1/2011,36221,74.3,10252.7,9
6/1/2011,36309,71.5,10269.1,9.1
7/1/2011,36422,63.7,10301.9,9
8/1/2011,36357,55.8,10302,9
9/1/2011,36230,59.5,10331.9,9
10/1/2011,36215,60.8,10372.1,8.8
11/1/2011,36123,63.7,10374.9,8.6
12/1/2011,36306,69.9,10372.1,8.5
1/1/2012,36486,75,10409.5,8.2
2/1/2012,36594,75.3,10466.6,8.3
3/1/2012,36604,76.2,10467.3,8.2
4/1/2012,36661,76.4,10499,8.2
5/1/2012,36651,79.3,10497.9,8.2
6/1/2012,36673,73.2,10493.6,8.2
7/1/2012,36604,72.3,10533.2,8.2
8/1/2012,36480,74.3,10523.2,8.1
9/1/2012,36531,78.3,10566.6,7.8
10/1/2012,36580,82.6,10558.6,7.8
11/1/2012,37030,82.7,10593.4,7.8
12/1/2012,38170,72.9,10602.4,7.9
1/1/2013,36190,73.8,10614.3,7.9
2/1/2013,36497,77.6,10643.5,7.7
3/1/2013,36626,78.6,10674.2,7.5
4/1/2013,36708,76.4,10678.7,7.5
5/1/2013,36786,84.5,10689.4,7.5
6/1/2013,36736,84.1,10707.7,7.5
7/1/2013,36800,85.1,10718.9,7.3
8/1/2013,36957,,10745.4,7.2
9/1/2013,37073,,10768.2,7.2
10/1/2013,36970,,10781.4,7.2
11/1/2013,36984,,10849.2,7
12/1/2013,36877,,10867.9,6.7
